x,y,label
100.43931,218.58356,3.0
358.64697,443.0689,9.0
403.4527,309.21326,1.0
152.53458,43.305546,1.0
175.61662,416.48038,8.0
476.29324,76.25076,6.0
257.48682,87.46174,0.0
130.528,247.79538,6.0
61.097683,108.754875,2.0
301.38052,139.23048,0.0
233.63826,409.12396,2.0
288.95465,63.42116,5.0
36.89599,41.32262,7.0
389.08008,331.02054,0.0
381.799,228.34615,6.0
448.9655,386.0913,2.0
58.914066,331.62265,6.0
104.23651,32.031654,6.0
46.126305,329.72217,0.0
50.23244,314.2682,5.0
191.09601,451.85184,4.0
286.15585,129.47804,3.0
465.00745,289.62195,9.0
178.27582,58.467716,8.0
153.48569,3.9829612,9.0
62.87089,431.33142,7.0
338.63202,136.07957,4.0
425.292,437.84024,4.0
50.664455,198.81273,1.0
203.30263,428.4867,0.0
114.75709,454.08032,5.0
160.22057,391.06775,2.0
113.13367,383.18976,1.0
414.38565,200.37952,9.0
58.020355,23.052513,7.0
297.78784,433.6749,3.0
240.9885,36.827625,3.0
380.54724,447.91925,1.0
349.59152,333.353,0.0
6.0404243,114.89365,2.0
216.82993,234.77295,7.0
320.25623,200.46193,2.0
487.15564,44.172226,6.0
470.12326,216.1035,5.0
327.59845,394.15518,6.0
449.96136,19.023418,2.0
399.9768,363.16574,3.0
477.87067,320.94122,7.0
344.38736,468.22214,7.0
11.822939,86.59261,4.0
